"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Conference Proceedings","CBHPC: Component-Based High Performance Computing","","","","2008 (October 2008)","2009 (November 2009)","http://portal.acm.org/proceedings/cbhpc/","http://portal.acm.org/proceedings/cbhpc/archive/"
"Conference Proceedings","CC: Critical Computing","","","","2005 (August 2005)","2005 (August 2005)","http://portal.acm.org/proceedings/cc/","http://portal.acm.org/proceedings/cc/archive/"
"Conference Proceedings","CCS: Computer and Communications Security","","","","1993 (December 1993)","2013 (November 2013)","http://portal.acm.org/proceedings/ccs/","http://portal.acm.org/proceedings/ccs/archive/"
"Conference Proceedings","CCSC: Consortium for Computing Sciences in Colleges","","","","1991 (May 1991)","2001 (April 2001)","http://portal.acm.org/proceedings/ccsc/","http://portal.acm.org/proceedings/ccsc/archive/"
"Conference Proceedings","CCSW: Cloud Computing Security Workshop","","","","2009 (November 2009)","2013 (November 2013)","http://portal.acm.org/proceedings/ccsw/","http://portal.acm.org/proceedings/ccsw/archive/"
"Conference Proceedings","CCU: Contemporary Computing in Ukraine","","","","2000 (February 2000)","2000 (February 2000)","http://portal.acm.org/proceedings/ccu/","http://portal.acm.org/proceedings/ccu/archive/"
"Conference Proceedings","CEA: Cooking and Eating Activities","","","","2009 (October 2009)","2013 (October 2013)","http://portal.acm.org/proceedings/cea/","http://portal.acm.org/proceedings/cea/archive/"
"Conference Proceedings","CF: Computing Frontiers","","","","2004 (April 2004)","2013 (May 2013)","http://portal.acm.org/proceedings/cf/","http://portal.acm.org/proceedings/cf/archive/"
"Conference Proceedings","CFI: Future Internet Technologies","","","","2009 (June 2009)","2012 (September 2012)","http://portal.acm.org/proceedings/cfi/","http://portal.acm.org/proceedings/cfi/archive/"
"Conference Proceedings","CFP: Computers, Freedom and Privacy","","","","1992 (April 1992)","2002 (April 2002)","http://portal.acm.org/proceedings/cfp/","http://portal.acm.org/proceedings/cfp/archive/"
"Conference Proceedings","CGI: Computer Graphics International","","","","1996 (June 1996)","2009 (May 2009)","http://portal.acm.org/proceedings/cgi/","http://portal.acm.org/proceedings/cgi/archive/"
"Conference Proceedings","CGO: Code Generation and Optimization","","","","2003 (March 2003)","2013 (February 2013)","http://portal.acm.org/proceedings/cgo/","http://portal.acm.org/proceedings/cgo/archive/"
"Conference Proceedings","CHANTS: Challenged Networks","","","","2006 (September 2006)","2013 (September 2013)","http://portal.acm.org/proceedings/chants/","http://portal.acm.org/proceedings/chants/archive/"
"Conference Proceedings","CHASE: Cooperative and Human Aspects on Software Engineering","","","","2008 (May 2008)","2011 (May 2011)","http://portal.acm.org/proceedings/chase/","http://portal.acm.org/proceedings/chase/archive/"
"Conference Proceedings","CHI EA: Conference on Human Factors in Computing Systems-Extended Abstracts","","","","1997 (March 1997)","2013 (April 2013)","http://portal.acm.org/proceedings/chiea/","http://portal.acm.org/proceedings/chiea/archive/"
"Conference Proceedings","CHI: Conference on Human Factors in Computing Systems","","","","1981 (May 1981)","2013 (April 2013)","http://portal.acm.org/proceedings/chi/","http://portal.acm.org/proceedings/chi/archive/"
"Conference Proceedings","CHINA HPC: High Performance Computing","","","","2007 (November 2007)","2007 (November 2007)","http://portal.acm.org/proceedings/chinahpc/","http://portal.acm.org/proceedings/chinahpc/archive/"
"Conference Proceedings","CHINZ: ACM SIGCHI New Zealand Chapter's International Conference on Human-Computer Interaction","","","","2001 (July 2001)","2012 (July 2012)","http://portal.acm.org/proceedings/chinz/","http://portal.acm.org/proceedings/chinz/archive/"
"Conference Proceedings","CHiMiT: Computer Human Interaction for the Management of Information Technology","","","","2007 (March 2007)","2011 (December 2011)","http://portal.acm.org/proceedings/chimit/","http://portal.acm.org/proceedings/chimit/archive/"
"Conference Proceedings","CIAA: Implementation and Application of Automata","","","","2003 (July 2002)","2003 (July 2002)","http://portal.acm.org/proceedings/ciaa/","http://portal.acm.org/proceedings/ciaa/archive/"
"Conference Proceedings","CIAO: Context, Information and Ontologies","","","","2009 (June 2009)","2009 (June 2009)","http://portal.acm.org/proceedings/ciao/","http://portal.acm.org/proceedings/ciao/archive/"
"Conference Proceedings","CIKM: Conference on Information and Knowledge Management","","","","1993 (December 1993)","2013 (October 2013)","http://portal.acm.org/proceedings/cikm/","http://portal.acm.org/proceedings/cikm/archive/"
"Conference Proceedings","CIMS: CyberInfrastructure: Information Management in eScience","","","","2007 (November 2007)","2007 (November 2007)","http://portal.acm.org/proceedings/cims/","http://portal.acm.org/proceedings/cims/archive/"
"Conference Proceedings","CIVR: Conference on Image and Video Retrieval","","","","2007 (July 2007)","2010 (July 2010)","http://portal.acm.org/proceedings/civr/","http://portal.acm.org/proceedings/civr/archive/"
"Conference Proceedings","CLADE: Challenges of Large Applications in Distributed Environments","","","","2003 (June 2003)","2009 (June 2009)","http://portal.acm.org/proceedings/clade/","http://portal.acm.org/proceedings/clade/archive/"
"Conference Proceedings","CLIHC: Latin American Conference on Human-Computer Interaction","","","","2003 (August 2003)","2005 (October 2005)","http://portal.acm.org/proceedings/clihc/","http://portal.acm.org/proceedings/clihc/archive/"
"Conference Proceedings","CLOUD: Software Engineering Challenges of Cloud Computing","","","","2009 (May 2009)","2009 (May 2009)","http://portal.acm.org/proceedings/cloud/","http://portal.acm.org/proceedings/cloud/archive/"
"Conference Proceedings","CMM: Connected Multimedia","","","","2010 (October 2010)","2010 (October 2010)","http://portal.acm.org/proceedings/cmm/","http://portal.acm.org/proceedings/cmm/archive/"
"Conference Proceedings","CMSB: Computational Methods in Systems Biology","","","","2010 (September 2010)","2011 (September 2011)","http://portal.acm.org/proceedings/cmsb/","http://portal.acm.org/proceedings/cmsb/archive/"
"Conference Proceedings","CNIKM: Complex Networks Meet Information & Knowledge Management","","","","2009 (November 2009)","2009 (November 2009)","http://portal.acm.org/proceedings/cnikm/","http://portal.acm.org/proceedings/cnikm/archive/"
"Conference Proceedings","CNS: Communications and Networking Simulation","","","","2008 (April 2008)","2013 (April 2013)","http://portal.acm.org/proceedings/cns/","http://portal.acm.org/proceedings/cns/archive/"
"Conference Proceedings","COCS: Conference on Organizational Computing Systems","","","","1984 (January 1984)","1995 (August 1995)","http://portal.acm.org/proceedings/cocs/","http://portal.acm.org/proceedings/cocs/archive/"
"Conference Proceedings","CODES: Hardware Software Codesign","","","","1994 (September 1994)","2012 (October 2012)","http://portal.acm.org/proceedings/codes/","http://portal.acm.org/proceedings/codes/archive/"
"Conference Proceedings","COLT: Computational Learning Theory","","","","1988 (December 1988)","1999 (July 1999)","http://portal.acm.org/proceedings/colt/","http://portal.acm.org/proceedings/colt/archive/"
"Conference Proceedings","COM.Geo: Computing for Geospatial Research &#38; Application","","","","2010 (June 2010)","2012 (July 2012)","http://portal.acm.org/proceedings/com.geo/","http://portal.acm.org/proceedings/com.geo/archive/"
"Conference Proceedings","COMM: Communications Architectures and Protocols","","","","2000 (November 2000)","2000 (November 2000)","http://portal.acm.org/proceedings/comm/","http://portal.acm.org/proceedings/comm/archive/"
"Conference Proceedings","COMPUTE: COMPUTE","","","","2008 (January 2008)","2013 (August 2013)","http://portal.acm.org/proceedings/compute/","http://portal.acm.org/proceedings/compute/archive/"
"Conference Proceedings","COMSWARE: Communication System Software and Middleware","","","","2009 (June 2009)","2011 (July 2011)","http://portal.acm.org/proceedings/comsware/","http://portal.acm.org/proceedings/comsware/archive/"
"Conference Proceedings","COP: Context-Oriented Programming","","","","2009 (July 2009)","2013 (July 2013)","http://portal.acm.org/proceedings/cop/","http://portal.acm.org/proceedings/cop/archive/"
"Conference Proceedings by Affiliated Organizations","CPR: Computers and People Research","","","","1962 (June 1962)","2013 (May 2013)","http://portal.acm.org/proceedings/sigcpr/","http://portal.acm.org/proceedings/sigcpr/archive/"
"Conference Proceedings","CQL: Computers and the Quality of Life","","","","1990 (August 1990)","1996 (February 1996)","http://portal.acm.org/proceedings/cql/","http://portal.acm.org/proceedings/cql/archive/"
"Conference Proceedings","CSAW: Computer Security Architectures","","","","2007 (November 2007)","2008 (October 2008)","http://portal.acm.org/proceedings/csaw/","http://portal.acm.org/proceedings/csaw/archive/"
"Conference Proceedings","CSC: Conference on Computer Science","","","","1973 (February 1973)","1996 (February 1996)","http://portal.acm.org/proceedings/csc/","http://portal.acm.org/proceedings/csc/archive/"
"Conference Proceedings","CSCW: Computer Supported Cooperative Work","","","","1986 (December 1986)","2013 (February 2013)","http://portal.acm.org/proceedings/cscw/","http://portal.acm.org/proceedings/cscw/archive/"
"Conference Proceedings","CSI-KDD: CyberSecurity and Intelligence Informatics","","","","2009 (June 2009)","2009 (June 2009)","http://portal.acm.org/proceedings/csi-kdd/","http://portal.acm.org/proceedings/csi-kdd/archive/"
"Conference Proceedings","CSIIRW: Cyber Security and Information Intelligence Research","","","","2008 (May 2008)","2013 (January 2013)","http://portal.acm.org/proceedings/csiirw/","http://portal.acm.org/proceedings/csiirw/archive/"
"Conference Proceedings","CSSSIA: Context Enabled Source and Service Selection, Integration and Adaption","","","","2008 (April 2008)","2008 (April 2008)","http://portal.acm.org/proceedings/csssia/","http://portal.acm.org/proceedings/csssia/archive/"
"Conference Proceedings","CSTST: Soft Computing as Transdisciplinary Science and Technology","","","","2008 (October 2008)","2008 (October 2008)","http://portal.acm.org/proceedings/cstst/","http://portal.acm.org/proceedings/cstst/archive/"
"Conference Proceedings","CUFP: Commercial Users of Functional Programming","","","","2007 (October 2007)","2010 (October 2010)","http://portal.acm.org/proceedings/cufp/","http://portal.acm.org/proceedings/cufp/archive/"
"Conference Proceedings","CUU: Conference on Universal Usability","","","","2000 (November 2000)","2003 (November 2003)","http://portal.acm.org/proceedings/cuu/","http://portal.acm.org/proceedings/cuu/archive/"
"Conference Proceedings","CVDB: Computer Vision Meets Databases","","","","2004 (June 2004)","2005 (June 2005)","http://portal.acm.org/proceedings/cvdb/","http://portal.acm.org/proceedings/cvdb/archive/"
"Conference Proceedings","CVE: Collaborative Virtual Environments","","","","2000 (September 2000)","2002 (September 2002)","http://portal.acm.org/proceedings/cve/","http://portal.acm.org/proceedings/cve/archive/"
"Conference Proceedings","CVSM: Comparison and Versioning of Software Models","","","","2008 (May 2008)","2009 (May 2009)","http://portal.acm.org/proceedings/cvsm/","http://portal.acm.org/proceedings/cvsm/archive/"
"Conference Proceedings","CWIT: Women and ICT","","","","2005 (June 2005)","2005 (June 2005)","http://portal.acm.org/proceedings/cwit/","http://portal.acm.org/proceedings/cwit/archive/"
"Conference Proceedings","CWNETS: Cognitive Wireless Networks","","","","2007 (August 2007)","2007 (August 2007)","http://portal.acm.org/proceedings/cwnets/","http://portal.acm.org/proceedings/cwnets/archive/"
"Conference Proceedings","Casemans: Context-Awareness for Self-Managing Systems","","","","2009 (May 2009)","2009 (May 2009)","http://portal.acm.org/proceedings/casemans/","http://portal.acm.org/proceedings/casemans/archive/"
"Conference Proceedings","CloudDB: Cloud Data Management","","","","2009 (November 2009)","2013 (October 2013)","http://portal.acm.org/proceedings/clouddb/","http://portal.acm.org/proceedings/clouddb/archive/"
"Conference Proceedings","CoNEXT: Co-NEXT","","","","2005 (October 2005)","2013 (December 2013)","http://portal.acm.org/proceedings/conext/","http://portal.acm.org/proceedings/conext/archive/"
"Conference Proceedings","CoRoNet: Cognitive Radio Networks","","","","2009 (September 2009)","2011 (September 2011)","http://portal.acm.org/proceedings/coronet/","http://portal.acm.org/proceedings/coronet/archive/"
"Conference Proceedings","CommunicabilityMS: Communicability Design and Evaluation in Cultural and Ecological Multimedia System","","","","2008 (October 2008)","2008 (October 2008)","http://portal.acm.org/proceedings/communicabilityms/","http://portal.acm.org/proceedings/communicabilityms/archive/"
"Conference Proceedings","CompBio: Computational biology","","","","2009 (May 2009)","2009 (May 2009)","http://portal.acm.org/proceedings/compbio/","http://portal.acm.org/proceedings/compbio/archive/"
"Conference Proceedings","CompFrame: Component and Framework Technology in High-Performance and Scientific Computing","","","","2007 (October 2007)","2007 (October 2007)","http://portal.acm.org/proceedings/compframe/","http://portal.acm.org/proceedings/compframe/archive/"
"Conference Proceedings","CompSysTech: Computer Systems and Technologies","","","","2000 (June 2000)","2013 (June 2013)","http://portal.acm.org/proceedings/compsystech/","http://portal.acm.org/proceedings/compsystech/archive/"
"Conference Proceedings","Companion: Middleware 08 Conference Companion","","","","2008 (December 2008)","2008 (December 2008)","http://portal.acm.org/proceedings/companion/","http://portal.acm.org/proceedings/companion/archive/"
"Conference Proceedings","Creating: Creating Out of the Machine","","","","2008 (June 2008)","2008 (June 2008)","http://portal.acm.org/proceedings/creating/","http://portal.acm.org/proceedings/creating/archive/"
"Conference Proceedings","DAC: Design Automation Conference","","","","1964 (January 1964)","2013 (May 2013)","http://portal.acm.org/proceedings/dac/","http://portal.acm.org/proceedings/dac/archive/"
"Conference Proceedings","DADC: Data-aware Distributed Computing","","","","2008 (June 2008)","2009 (June 2009)","http://portal.acm.org/proceedings/dadc/","http://portal.acm.org/proceedings/dadc/archive/"
"Conference Proceedings","DAMP: Declarative Aspects of Multicore Programming","","","","2007 (January 2007)","2012 (January 2012)","http://portal.acm.org/proceedings/damp/","http://portal.acm.org/proceedings/damp/archive/"
"Conference Proceedings","DARE: Designing Augmented Reality Environments","","","","2000 (April 2000)","2013 (November 2013)","http://portal.acm.org/proceedings/dare/","http://portal.acm.org/proceedings/dare/archive/"
"Conference Proceedings","DAS: Document Analysis Systems","","","","2010 (June 2010)","2010 (June 2010)","http://portal.acm.org/proceedings/das/","http://portal.acm.org/proceedings/das/archive/"
"Conference Proceedings","DATACOMM: Data Communications and Data Networks","","","","1973 (January 1973)","1973 (January 1973)","http://portal.acm.org/proceedings/datacomm/","http://portal.acm.org/proceedings/datacomm/archive/"
"Conference Proceedings","DATE: Design, Automation and Test in Europe","","","","1998 (February 1998)","2013 (March 2013)","http://portal.acm.org/proceedings/date/","http://portal.acm.org/proceedings/date/archive/"
"Conference Proceedings","DBTest: Testing Database Systems","","","","2008 (June 2008)","2013 (June 2013)","http://portal.acm.org/proceedings/dbtest/","http://portal.acm.org/proceedings/dbtest/archive/"
"Conference Proceedings","DCOSS:  Distributed Computing in Sensor Systems","","","","2007 (June 2007)","2010 (June 2010)","http://portal.acm.org/proceedings/dcoss/","http://portal.acm.org/proceedings/dcoss/archive/"
"Conference Proceedings","DD4LCCI: Data Dissemination for Large Scale Complex Critical Infrastructures","","","","2010 (April 2010)","2010 (April 2010)","http://portal.acm.org/proceedings/dd4lcci/","http://portal.acm.org/proceedings/dd4lcci/archive/"
"Conference Proceedings","DDDM: Domain Driven Data Mining","","","","2007 (August 2007)","2007 (August 2007)","http://portal.acm.org/proceedings/dddm/","http://portal.acm.org/proceedings/dddm/archive/"
"Conference Proceedings","DEAS: Design and Evolution of Autonomic Application Software","","","","2005 (May 2005)","2005 (May 2005)","http://portal.acm.org/proceedings/deas/","http://portal.acm.org/proceedings/deas/archive/"
"Conference Proceedings","DEBS: Distributed Event-Based Systems","","","","2003 (June 2003)","2013 (June 2013)","http://portal.acm.org/proceedings/debs/","http://portal.acm.org/proceedings/debs/archive/"
"Conference Proceedings","DEECS: Data Enginering issues in E-commerce and Services","","","","2007 (June 2007)","2007 (June 2007)","http://portal.acm.org/proceedings/deecs/","http://portal.acm.org/proceedings/deecs/archive/"
"Conference Proceedings","DEFECTS: Defects in Large Software Systems","","","","2008 (July 2008)","2009 (June 2009)","http://portal.acm.org/proceedings/defects/","http://portal.acm.org/proceedings/defects/archive/"
"Conference Proceedings","DESIRE: Creativity and Innovation in Design","","","","2010 (August 2010)","2011 (October 2011)","http://portal.acm.org/proceedings/desire/","http://portal.acm.org/proceedings/desire/archive/"
"Conference Proceedings","DESRIST: Design Science Research in Information Systems and Technology","","","","2009 (May 2009)","2009 (May 2009)","http://portal.acm.org/proceedings/desrist/","http://portal.acm.org/proceedings/desrist/archive/"
"Conference Proceedings","DIALM: DIALM","","","","1999 (August 1999)","2010 (September 2010)","http://portal.acm.org/proceedings/dialm/","http://portal.acm.org/proceedings/dialm/archive/"
"Conference Proceedings","DIM: Digital Identity Management","","","","2005 (November 2005)","2013 (November 2013)","http://portal.acm.org/proceedings/dim/","http://portal.acm.org/proceedings/dim/archive/"
"Conference Proceedings","DIMEA: Digital Interactive Media in Entertainment and Arts","","","","2007 (September 2007)","2008 (September 2008)","http://portal.acm.org/proceedings/dimea/","http://portal.acm.org/proceedings/dimea/archive/"
"Conference Proceedings","DIN: Dynamic Interconnection of Networks","","","","2005 (September 2005)","2005 (September 2005)","http://portal.acm.org/proceedings/din/","http://portal.acm.org/proceedings/din/archive/"
"Conference Proceedings","DIS: Designing Interactive Systems","","","","1995 (August 1995)","2012 (June 2012)","http://portal.acm.org/proceedings/dis/","http://portal.acm.org/proceedings/dis/archive/"
"Conference Proceedings","DIWANS: Dependability Issues in Wireless and Ad-Hoc Networks and Sensor Networks","","","","2006 (September 2006)","2006 (September 2006)","http://portal.acm.org/proceedings/diwans/","http://portal.acm.org/proceedings/diwans/archive/"
"Conference Proceedings","DL: Digital Libraries","","","","1996 (April 1996)","2000 (June 2000)","http://portal.acm.org/proceedings/dl/","http://portal.acm.org/proceedings/dl/archive/"
"Conference Proceedings","DLS: Dynamic Languages","","","","2005 (October 2005)","2013 (October 2013)","http://portal.acm.org/proceedings/dls/","http://portal.acm.org/proceedings/dls/archive/"
"Conference Proceedings","DMG: Data Mining for Geoinformatics","","","","2010 (November 2010)","2010 (November 2010)","http://portal.acm.org/proceedings/dmg/","http://portal.acm.org/proceedings/dmg/archive/"
"Conference Proceedings","DMKD: Research Issues in Data Mining and Knowledge Discovery","","","","2003 (June 2003)","2004 (June 2004)","http://portal.acm.org/proceedings/dmkd/","http://portal.acm.org/proceedings/dmkd/archive/"
"Conference Proceedings","DMMT: Data Mining using Matrices and Tensors","","","","2001 (July 2001)","2009 (June 2009)","http://portal.acm.org/proceedings/dmmt/","http://portal.acm.org/proceedings/dmmt/archive/"
"Conference Proceedings","DMSN: Data Management for Sensor Networks","","","","2004 (August 2004)","2010 (September 2010)","http://portal.acm.org/proceedings/dmsn/","http://portal.acm.org/proceedings/dmsn/archive/"
"Conference Proceedings","DMSSP: Data Mining Standards, Services and Platforms","","","","2006 (August 2006)","2006 (August 2006)","http://portal.acm.org/proceedings/dmssp/","http://portal.acm.org/proceedings/dmssp/archive/"
"Conference Proceedings","DO: Distributed Objects","","","","2009 (June 2009)","2009 (June 2009)","http://portal.acm.org/proceedings/do/","http://portal.acm.org/proceedings/do/archive/"
"Conference Proceedings","DOCPROCS: Document Processing Systems","","","","1988 (January 2000)","1988 (January 2000)","http://portal.acm.org/proceedings/docprocs/","http://portal.acm.org/proceedings/docprocs/archive/"
"Conference Proceedings","DOLAP: Data Warehousing and OLAP","","","","1998 (November 1998)","2013 (October 2013)","http://portal.acm.org/proceedings/dolap/","http://portal.acm.org/proceedings/dolap/archive/"
"Conference Proceedings","DOSTA: Domain Specific Approaches to Software Test Automation","","","","2007 (September 2007)","2007 (September 2007)","http://portal.acm.org/proceedings/dosta/","http://portal.acm.org/proceedings/dosta/archive/"
"Conference Proceedings","DPDS: Databases in Parallel and Distributed Systems","","","","1990 (July 1990)","1988 (January 2000)","http://portal.acm.org/proceedings/dpds/","http://portal.acm.org/proceedings/dpds/archive/"
"Conference Proceedings","DPPI: Designing Pleasurable Products and Interfaces","","","","2003 (June 2003)","2013 (September 2013)","http://portal.acm.org/proceedings/dppi/","http://portal.acm.org/proceedings/dppi/archive/"
"Conference Proceedings","DRM: Digital Rights Management","","","","2003 (October 2003)","2011 (October 2011)","http://portal.acm.org/proceedings/drm/","http://portal.acm.org/proceedings/drm/archive/"
"Conference Proceedings","DS-RT: Distributed Simulation and Real Time Applications","","","","2000 (August 2000)","2012 (October 2012)","http://portal.acm.org/proceedings/ds-rt/","http://portal.acm.org/proceedings/ds-rt/archive/"
"Conference Proceedings","DSAL: Domain-Specific Aspect Languages","","","","2007 (March 2007)","2012 (March 2012)","http://portal.acm.org/proceedings/dsal/","http://portal.acm.org/proceedings/dsal/archive/"
"Conference Proceedings","DSL: Domain-Specific Languages","","","","1999 (December 1999)","1999 (December 1999)","http://portal.acm.org/proceedings/dsl/","http://portal.acm.org/proceedings/dsl/archive/"
"Conference Proceedings","DSM: Doctoral Symposium on Middleware","","","","2004 (October 2004)","2012 (October 2012)","http://portal.acm.org/proceedings/dsm/","http://portal.acm.org/proceedings/dsm/archive/"
"Conference Proceedings","DSMM: Data-Intensive Software Management and Mining","","","","2009 (November 2009)","2009 (November 2009)","http://portal.acm.org/proceedings/dsmm/","http://portal.acm.org/proceedings/dsmm/archive/"
"Conference Proceedings","DTMBIO: Data and Text Mining in Biomedical Informatics","","","","2008 (October 2008)","2013 (November 2013)","http://portal.acm.org/proceedings/dtmbio/","http://portal.acm.org/proceedings/dtmbio/archive/"
"Conference Proceedings","DUX: Designing for User eXperiences","","","","2003 (June 2003)","2007 (November 2007)","http://portal.acm.org/proceedings/dux/","http://portal.acm.org/proceedings/dux/archive/"
"Conference Proceedings","DYADEM-FTS: Dependeability Models for Fault-Tolerant Systems","","","","2010 (April 2010)","2010 (April 2010)","http://portal.acm.org/proceedings/dyadem-fts/","http://portal.acm.org/proceedings/dyadem-fts/archive/"
"Conference Proceedings","DYNAMO: Dynamic and Adaptive Compilation and Optimization","","","","2000 (January 2000)","2000 (January 2000)","http://portal.acm.org/proceedings/dynamo/","http://portal.acm.org/proceedings/dynamo/archive/"
"Conference Proceedings","DaGreS: Data Grids for eScience","","","","2009 (May 2009)","2009 (May 2009)","http://portal.acm.org/proceedings/dagres/","http://portal.acm.org/proceedings/dagres/archive/"
"Conference Proceedings","DaMaP: Data Management in Peer-to-Peer Systems","","","","2008 (March 2008)","2008 (March 2008)","http://portal.acm.org/proceedings/damap/","http://portal.acm.org/proceedings/damap/archive/"
"Conference Proceedings","DaMoN: Data Management on New Hardware","","","","2005 (June 2005)","2013 (June 2013)","http://portal.acm.org/proceedings/damon/","http://portal.acm.org/proceedings/damon/archive/"
"Conference Proceedings","DataX: Database Technologies for Handling XML Information on the Web","","","","2008 (March 2008)","2008 (March 2008)","http://portal.acm.org/proceedings/datax/","http://portal.acm.org/proceedings/datax/archive/"
"Conference Proceedings","DocEng: Document Engineering","","","","2001 (November 2001)","2013 (September 2013)","http://portal.acm.org/proceedings/doceng/","http://portal.acm.org/proceedings/doceng/archive/"
"Conference Proceedings","Dutch HCI: Dutch directions in HCI","","","","2004 (June 2004)","2004 (June 2004)","http://portal.acm.org/proceedings/dutchhci/","http://portal.acm.org/proceedings/dutchhci/archive/"
"Conference Proceedings","E-WIND: Experimental Approaches to Wireless Network Design and Analysis","","","","2005 (August 2005)","2005 (August 2005)","http://portal.acm.org/proceedings/e-wind/","http://portal.acm.org/proceedings/e-wind/archive/"
"Conference Proceedings","EA: Early Aspects","","","","2006 (May 2006)","2011 (March 2011)","http://portal.acm.org/proceedings/ea/","http://portal.acm.org/proceedings/ea/archive/"
"Conference Proceedings","EATIS: Euro American Conference on Telematics and Information Systems","","","","2007 (May 2007)","2012 (May 2012)","http://portal.acm.org/proceedings/eatis/","http://portal.acm.org/proceedings/eatis/archive/"
"Conference Proceedings","EC: Electronic Commerce","","","","1999 (November 1999)","2013 (June 2013)","http://portal.acm.org/proceedings/ec/","http://portal.acm.org/proceedings/ec/archive/"
"Conference Proceedings","ECA: Ethics in the Computer Age","","","","1994 (November 1994)","1994 (November 1994)","http://portal.acm.org/proceedings/eca/","http://portal.acm.org/proceedings/eca/archive/"
"Conference Proceedings","ECCE: European Conference on Cognitive Ergonomics","","","","2006 (September 2006)","2013 (August 2013)","http://portal.acm.org/proceedings/ecce/","http://portal.acm.org/proceedings/ecce/archive/"
"Conference Proceedings","ECHT: European Conference on Hypermedia Technology","","","","1992 (November 1992)","1994 (September 1994)","http://portal.acm.org/proceedings/echt/","http://portal.acm.org/proceedings/echt/archive/"
"Conference Proceedings","ECIR: European Conference on Information Retrieval","","","","2008 (March 2008)","2012 (April 2012)","http://portal.acm.org/proceedings/ecir/","http://portal.acm.org/proceedings/ecir/archive/"
"Conference Proceedings","ECMFA-TW: ECMFA Traceability Workshop","","","","2010 (June 2010)","2010 (June 2010)","http://portal.acm.org/proceedings/ecmfa-tw/","http://portal.acm.org/proceedings/ecmfa-tw/archive/"
"Conference Proceedings","ECOOP: European Conference on Object-Oriented Programming","","","","2007 (July 2007)","2013 (July 2013)","http://portal.acm.org/proceedings/ecoop/","http://portal.acm.org/proceedings/ecoop/archive/"
"Conference Proceedings","ECSA: European Conference on Software Architecture","","","","2010 (August 2010)","2012 (August 2012)","http://portal.acm.org/proceedings/ecsa/","http://portal.acm.org/proceedings/ecsa/archive/"
"Conference Proceedings","EDBT: Extending Database Technology","","","","2008 (March 2008)","2013 (March 2013)","http://portal.acm.org/proceedings/edbt/","http://portal.acm.org/proceedings/edbt/archive/"
"Conference Proceedings","EDSER: Economics-Driven Software Engineering Research","","","","2005 (May 2005)","2006 (May 2006)","http://portal.acm.org/proceedings/edser/","http://portal.acm.org/proceedings/edser/archive/"
"Conference Proceedings","EDT: Emerging Displays Technologies","","","","2007 (August 2007)","2007 (August 2007)","http://portal.acm.org/proceedings/edt/","http://portal.acm.org/proceedings/edt/archive/"
"Conference Proceedings","EDTC: European Conference on Design and Test","","","","1995 (March 1995)","1997 (March 1997)","http://portal.acm.org/proceedings/edtc/","http://portal.acm.org/proceedings/edtc/archive/"
"Conference Proceedings","EESR: End-to-end, Sense-and-respond Systems, Applications and Services","","","","2005 (June 2005)","2005 (June 2005)","http://portal.acm.org/proceedings/eesr/","http://portal.acm.org/proceedings/eesr/archive/"
"Conference Proceedings","EFTS: Engineering Fault Tolerant Systems","","","","2007 (September 2007)","2007 (September 2007)","http://portal.acm.org/proceedings/efts/","http://portal.acm.org/proceedings/efts/archive/"
"Conference Proceedings","EGPGV: Eurographics Workshop on Parallel Graphics and Visualization","","","","2002 (September 2002)","2002 (September 2002)","http://portal.acm.org/proceedings/egpgv/","http://portal.acm.org/proceedings/egpgv/archive/"
"Conference Proceedings","EGRW: Eurographics Workshop on Rendering","","","","2002 (July 2002)","2002 (July 2002)","http://portal.acm.org/proceedings/egrw/","http://portal.acm.org/proceedings/egrw/archive/"
"Conference Proceedings","EGVE: Virtual Environments","","","","2002 (May 2002)","2007 (July 2007)","http://portal.acm.org/proceedings/egve/","http://portal.acm.org/proceedings/egve/archive/"
"Conference Proceedings","EICS: Engineering Interactive Computing Systems","","","","2009 (July 2009)","2013 (June 2013)","http://portal.acm.org/proceedings/eics/","http://portal.acm.org/proceedings/eics/archive/"
"Conference Proceedings","ELW: European Lisp Workshop","","","","2009 (July 2009)","2010 (June 2010)","http://portal.acm.org/proceedings/elw/","http://portal.acm.org/proceedings/elw/archive/"
"Conference Proceedings","EMSOFT: Embedded Software","","","","2004 (September 2004)","2013 (September 2013)","http://portal.acm.org/proceedings/emsoft/","http://portal.acm.org/proceedings/emsoft/archive/"
"Conference Proceedings","EOMAS: Enterprises & Organizational Modeling and Simulation","","","","2009 (June 2009)","2010 (June 2010)","http://portal.acm.org/proceedings/eomas/","http://portal.acm.org/proceedings/eomas/archive/"
"Conference Proceedings","EPIA: Progress in Artificial Intelligence","","","","2007 (December 2007)","2007 (December 2007)","http://portal.acm.org/proceedings/epia/","http://portal.acm.org/proceedings/epia/archive/"
"Conference Proceedings","ERLANG: ERLANG","","","","2002 (October 2002)","2013 (September 2013)","http://portal.acm.org/proceedings/erlang/","http://portal.acm.org/proceedings/erlang/archive/"
"Conference Proceedings","ESAIR: Exploiting Semantic Annotations in Information Retrieval","","","","2009 (February 2009)","2013 (October 2013)","http://portal.acm.org/proceedings/esair/","http://portal.acm.org/proceedings/esair/archive/"
